Date,Close
01/10/2012,23.55
02/10/2012,23.62
03/10/2012,23.98
04/10/2012,23.81
05/10/2012,23.31
08/10/2012,22.79
09/10/2012,22.71
10/10/2012,22.89
11/10/2012,22.43
12/10/2012,22.49
15/10/2012,22.67
16/10/2012,23.21
17/10/2012,23.02
18/10/2012,22.59
19/10/2012,21.78
22/10/2012,22.64
23/10/2012,21.91
24/10/2012,22.03
25/10/2012,21.77
26/10/2012,21.57
31/10/2012,21.26
01/11/2012,21.3
02/11/2012,20.6
05/11/2012,20.88
06/11/2012,20.82
07/11/2012,19.93
08/11/2012,19.21
09/11/2012,19.54
12/11/2012,19.39
13/11/2012,19.39
14/11/2012,19.17
15/11/2012,18.77
16/11/2012,18.85
19/11/2012,20.2
20/11/2012,20.03
21/11/2012,20.06
23/11/2012,20.41
26/11/2012,21.05
27/11/2012,20.89
28/11/2012,20.82
29/11/2012,21.05
30/11/2012,20.9
03/12/2012,20.94
04/12/2012,20.57
05/12/2012,19.24
06/12/2012,19.54
07/12/2012,19.04
10/12/2012,18.92
11/12/2012,19.34
12/12/2012,19.25
13/12/2012,18.92
14/12/2012,18.21
17/12/2012,18.53
18/12/2012,19.07
19/12/2012,18.8
20/12/2012,18.63
21/12/2012,18.55
24/12/2012,18.58
26/12/2012,18.32
27/12/2012,18.4
28/12/2012,18.2
31/12/2012,19.01
02/01/2013,19.61
03/01/2013,19.36
04/01/2013,18.82
07/01/2013,18.71
08/01/2013,18.76
09/01/2013,18.47
10/01/2013,18.7
11/01/2013,18.58
14/01/2013,17.92
15/01/2013,17.35
16/01/2013,18.07
17/01/2013,17.95
18/01/2013,17.86
22/01/2013,18.03
23/01/2013,18.36
24/01/2013,16.09
25/01/2013,15.71
28/01/2013,16.07
29/01/2013,16.37
30/01/2013,16.32
31/01/2013,16.27
01/02/2013,16.2
04/02/2013,15.8
05/02/2013,16.35
06/02/2013,16.33
07/02/2013,16.72
08/02/2013,16.96
11/02/2013,17.14
12/02/2013,16.71
13/02/2013,16.68
14/02/2013,16.66
15/02/2013,16.43
19/02/2013,16.43
20/02/2013,16.03
21/02/2013,15.93
22/02/2013,16.1
25/02/2013,15.81
26/02/2013,16.03
27/02/2013,15.88
28/02/2013,15.76
01/03/2013,15.37
04/03/2013,15
05/03/2013,15.4
06/03/2013,15.2
07/03/2013,15.38
08/03/2013,15.42
11/03/2013,15.64
12/03/2013,15.3
13/03/2013,15.3
14/03/2013,15.45
15/03/2013,15.85
18/03/2013,16.28
19/03/2013,16.23
20/03/2013,16.15
21/03/2013,16.17
22/03/2013,16.5
25/03/2013,16.56
26/03/2013,16.47
27/03/2013,16.15
28/03/2013,15.81
01/04/2013,15.32
02/04/2013,15.35
03/04/2013,15.43
04/04/2013,15.28
05/04/2013,15.11
08/04/2013,15.22
09/04/2013,15.25
10/04/2013,15.56
11/04/2013,15.51
12/04/2013,15.35
15/04/2013,14.99
16/04/2013,15.22
17/04/2013,14.39
18/04/2013,14
19/04/2013,13.95
22/04/2013,14.24
23/04/2013,14.5
24/04/2013,14.48
25/04/2013,14.59
26/04/2013,14.9
29/04/2013,15.36
30/04/2013,15.81
01/05/2013,15.69
02/05/2013,15.91
03/05/2013,16.07
06/05/2013,16.45
07/05/2013,16.38
08/05/2013,16.57
09/05/2013,16.31
10/05/2013,16.18
13/05/2013,16.24
14/05/2013,15.85
15/05/2013,15.32
16/05/2013,15.52
17/05/2013,15.47
20/05/2013,15.82
21/05/2013,15.7
22/05/2013,15.76
23/05/2013,15.79
24/05/2013,15.9
28/05/2013,15.77
29/05/2013,15.89
30/05/2013,16.13
31/05/2013,16.06
03/06/2013,16.1
04/06/2013,16.05
05/06/2013,15.9
06/06/2013,15.66
07/06/2013,15.78
10/06/2013,15.67
11/06/2013,15.63
12/06/2013,15.44
13/06/2013,15.57
14/06/2013,15.36
17/06/2013,15.43
18/06/2013,15.42
19/06/2013,15.11
20/06/2013,14.89
21/06/2013,14.77
24/06/2013,14.38
25/06/2013,14.38
26/06/2013,14.22
27/06/2013,14.06
28/06/2013,14.16
01/07/2013,14.62
02/07/2013,14.95
03/07/2013,15.03
05/07/2013,14.91
08/07/2013,14.82
09/07/2013,15.08
10/07/2013,15.03
11/07/2013,15.26
12/07/2013,15.23
15/07/2013,15.27
16/07/2013,15.36
17/07/2013,15.37
18/07/2013,15.42
19/07/2013,15.18
22/07/2013,15.23
23/07/2013,14.96
24/07/2013,15.73
25/07/2013,15.66
26/07/2013,15.75
29/07/2013,15.99
30/07/2013,16.19
31/07/2013,16.16
01/08/2013,16.31
02/08/2013,16.52
05/08/2013,16.77
06/08/2013,16.62
07/08/2013,16.61
08/08/2013,16.46
09/08/2013,16.23
12/08/2013,16.69
13/08/2013,17.48
14/08/2013,17.8
15/08/2013,17.78
16/08/2013,17.94
19/08/2013,18.13
20/08/2013,17.9
21/08/2013,17.94
22/08/2013,17.96
23/08/2013,17.89
26/08/2013,17.96
27/08/2013,17.45
28/08/2013,17.53
29/08/2013,17.56
30/08/2013,17.4
03/09/2013,17.45
04/09/2013,17.81
05/09/2013,17.69
06/09/2013,17.79
09/09/2013,18.08
10/09/2013,17.67
11/09/2013,16.7
12/09/2013,16.88
13/09/2013,16.6
16/09/2013,16.08
17/09/2013,16.26
18/09/2013,16.6
19/09/2013,16.87
20/09/2013,16.69
23/09/2013,17.52
24/09/2013,17.47
25/09/2013,17.2
26/09/2013,17.36
27/09/2013,17.24
30/09/2013,17.03
01/10/2013,17.43
02/10/2013,17.48
03/10/2013,17.26
04/10/2013,17.25
07/10/2013,17.42
08/10/2013,17.18
09/10/2013,17.38
10/10/2013,17.49
11/10/2013,17.6
14/10/2013,17.72
15/10/2013,17.81
16/10/2013,17.9
17/10/2013,18.02
18/10/2013,18.17
21/10/2013,18.62
22/10/2013,18.57
23/10/2013,18.75
24/10/2013,19
25/10/2013,18.78
28/10/2013,18.92
29/10/2013,18.45
30/10/2013,18.75
31/10/2013,18.67
01/11/2013,18.57
04/11/2013,18.81
05/11/2013,18.77
06/11/2013,18.6
07/11/2013,18.3
08/11/2013,18.59
11/11/2013,18.54
12/11/2013,18.57
13/11/2013,18.59
14/11/2013,18.86
15/11/2013,18.75
18/11/2013,18.52
19/11/2013,18.56
20/11/2013,18.39
21/11/2013,18.61
22/11/2013,18.56
25/11/2013,18.7
26/11/2013,19.05
27/11/2013,19.5
29/11/2013,19.86
02/12/2013,19.69
03/12/2013,20.23
04/12/2013,20.18
05/12/2013,20.28
06/12/2013,20
09/12/2013,20.23
10/12/2013,20.2
11/12/2013,20.05
12/12/2013,20.02
13/12/2013,19.8
16/12/2013,19.91
17/12/2013,19.82
